序号,所属平台,订单号,下单用户,规格,总金额,运费,快递单号,快递公司
"	1","	微信","	20230404155054223880","	天空不可话语","	规格：默认，",434.00,,"	","	"
"	2","	微信","	20230404155054223880","	天空不可话语","	套餐：观光塔+防尘罩，",434.00,,"	","	"
"	3","	微信","	20230404155054223880","	天空不可话语","	套餐：（一套子母包15.6）），",434.00,,"	","	"
"	4","	微信","	20230404155054223880","	天空不可话语","	套餐：主楼+防尘罩，",434.00,,"	","	"
"	5","	微信","	20230404141922303591","	无敌暴龙战士","	规格：默认，",1244.00,0.00,"	","	"
"	6","	微信","	20230404141922303591","	无敌暴龙战士","	规格：单色光，USB供电，",1244.00,0.00,"	","	"
"	7","	微信","	20230404141922303591","	无敌暴龙战士","	规格：明信片套装，",1244.00,0.00,"	","	"
"	8","	微信","	20230404141922303591","	无敌暴龙战士","	规格：默认，",1244.00,0.00,"	","	"
"	9","	微信","	20230404141922303591","	无敌暴龙战士","	远望谷：未拼好，",1244.00,0.00,"	","	"
"	10","	微信","	20230404141922303591","	无敌暴龙战士","	内存：32G，接口：2.0，",1244.00,0.00,"	","	"
"	11","	微信","	20230404141700965218","	无敌暴龙战士","	内存：32G，接口：2.0，",480.00,0.00,"	","	"
"	12","	微信","	20230404141554243061","	无敌暴龙战士","	规格：默认，",350.00,0.00,"	","	"
"	13","	微信","	20230404141529922795","	无敌暴龙战士","	颜色：浅灰，",360.00,0.00,"	","	"
"	14","	微信","	20230404141447638144","	无敌暴龙战士","	规格：默认，",576.00,0.00,"	","	"
"	15","	微信","	20230404141414318858","	无敌暴龙战士","	颜色：浅灰，",703.00,0.00,"	","	"
"	16","	微信","	20230404141312956566","	无敌暴龙战士","	规格：默认，",250.00,0.00,"	","	"
"	17","	微信","	20230404141238689122","	无敌暴龙战士","	型号：西电，",250.00,0.00,"	","	"
"	18","	微信","	20230404000713965834","	一黎将军","	规格：默认，",194.00,0.00,"	","	"
"	19","	微信","	20230404000713965834","	一黎将军","	套餐：观光塔+防尘罩，",194.00,0.00,"	","	"
"	20","	微信","	20230403182806529232","	汪汪队摸大鱼","	套餐：主楼+防尘罩，",318.00,,"	","	"
"	21","	微信","	20230403181121393351","	汪汪队摸大鱼","	套餐：主楼+防尘罩，",318.00,0.00,"	","	"
"	22","	微信","	20230402143857891589","	柒","	远望谷：未拼好，",187.00,,"	","	"
"	23","	微信","	20230402143857891589","	柒","	规格：默认，",187.00,,"	","	"
"	24","	微信","	20230401074727778032","	任沁","	规格：明信片套装，",59.00,10.00,"	","	"
"	25","	微信","	20230401074727778032","	任沁","	规格：默认，",59.00,10.00,"	","	"
"	26","	微信","	20230331144933679281","	NGC2237","	规格：默认，",2304.00,,"	","	"
"	27","	微信","	20230328162219730492","	Grade Billion","	颜色：灰色，",8.00,,"	","	"
"	28","	微信","	20230327204601315982","	柒","	规格：默认，",472.00,,"	","	"
"	29","	微信","	20230327204601315982","	柒","	束口包：420D，",472.00,,"	","	"
"	30","	微信","	20230327204601315982","	柒","	规格：默认，",472.00,,"	","	"
"	31","	微信","	20230327204601315982","	柒","	颜色：灰色，",472.00,,"	","	"
"	32","	微信","	20230327122630677393","	杨晨东","	套餐：主楼+防尘罩，",159.00,0.00,"	","	"
"	33","	微信","	20230325174656562967","	蛤","	规格：明信片套装，",12.00,,"	","	"
